epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,33226,0.28319,0.46107,0.44743,0.8767,0,0.98039,0.98085,0.98287,0.97628,0.97838,0.9788,0.97993,0.97601,0.09899,0.22327,0.12162,0.7543,0,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,33537.1,0.28137,0.46525,0.43663,0.87812,0,0.98173,0.97963,0.98302,0.97625,0.97964,0.97764,0.98063,0.97624,0.10057,0.2227,0.11952,0.75674,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,33847.9,0.28106,0.47168,0.44592,0.87903,0,0.98103,0.9819,0.98378,0.97685,0.97875,0.9803,0.98099,0.97708,0.09864,0.22188,0.11552,0.75481,0,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,34158.8,0.28035,0.46105,0.44703,0.87761,0,0.97961,0.98358,0.9842,0.97706,0.97741,0.98188,0.9807,0.97635,0.09849,0.22397,0.11234,0.75552,0,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,34470,0.28262,0.45349,0.45079,0.8802,0,0.97892,0.98476,0.98473,0.97827,0.97666,0.98297,0.98146,0.9781,0.09788,0.22169,0.11342,0.75432,0,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,34781.2,0.27886,0.45116,0.43368,0.87699,0,0.98031,0.98496,0.98485,0.97859,0.97813,0.98326,0.98152,0.9781,0.0984,0.21951,0.11405,0.75515,0,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,35091.8,0.27793,0.44992,0.43634,0.87421,0,0.97824,0.98407,0.98444,0.97798,0.97613,0.98246,0.98065,0.97705,0.09852,0.21645,0.11685,0.75431,0,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,35402.6,0.27974,0.4494,0.43893,0.87569,0,0.98074,0.98434,0.98594,0.97897,0.97872,0.98228,0.98209,0.979,0.09865,0.216,0.11247,0.75251,0,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,35713.1,0.27409,0.44765,0.42804,0.87541,0,0.97932,0.98509,0.98434,0.97816,0.9773,0.98303,0.9814,0.97849,0.0974,0.21502,0.11544,0.7535,0,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,36023.3,0.27789,0.45652,0.43173,0.87907,0,0.97777,0.98527,0.98482,0.97798,0.97575,0.98321,0.9812,0.9782,0.09699,0.21556,0.11571,0.75345,0,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,36332.7,0.27353,0.43472,0.42181,0.87567,0,0.9773,0.98565,0.98573,0.97927,0.97528,0.98359,0.98187,0.97879,0.0962,0.21582,0.11361,0.75351,0,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,36642.4,0.27091,0.4348,0.41704,0.87304,0,0.97843,0.98614,0.98514,0.97839,0.97641,0.98408,0.98151,0.9783,0.09573,0.21765,0.11173,0.75299,0,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,36953.2,0.27316,0.43472,0.42306,0.87434,0,0.97868,0.98634,0.98606,0.97972,0.97666,0.98428,0.98244,0.97945,0.09535,0.21773,0.10701,0.75283,0,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,37260.9,0.27247,0.44119,0.41942,0.87682,0,0.97843,0.98678,0.98547,0.9789,0.97641,0.98472,0.98184,0.97804,0.09562,0.21839,0.10962,0.75312,0,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,37567.3,0.27243,0.44182,0.40891,0.87142,0,0.97826,0.98661,0.98525,0.9793,0.97624,0.98455,0.98163,0.97763,0.09525,0.21928,0.10874,0.75298,0,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,37872,0.27091,0.43822,0.41284,0.87537,0,0.98016,0.98634,0.98509,0.97913,0.97813,0.98429,0.9817,0.9782,0.09505,0.21936,0.1096,0.75305,0,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,38175.3,0.26878,0.42861,0.41188,0.87246,0,0.97928,0.98624,0.98593,0.97989,0.97726,0.98418,0.98277,0.97901,0.09544,0.21892,0.1135,0.75277,0,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,38480,0.26942,0.42986,0.40618,0.8743,0,0.97906,0.98562,0.98529,0.97897,0.97704,0.98356,0.98189,0.97861,0.09567,0.21548,0.11155,0.75337,0,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,38782.1,0.27057,0.44421,0.40889,0.87215,0,0.97896,0.98561,0.98589,0.97925,0.97694,0.98356,0.9825,0.9793,0.09632,0.21451,0.11102,0.75328,0,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
