epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,9825.1,0.25112,0.38669,0.37823,0.86774,0,0.97792,0.98441,0.98585,0.97854,0.97592,0.98235,0.98199,0.97859,0.10741,0.21899,0.13,0.7587,0,4.23745e-05,4.23745e-05,4.23745e-05
83,9943.71,0.2561,0.40635,0.39459,0.86847,0,0.97755,0.98332,0.9846,0.97723,0.9754,0.98134,0.98098,0.97701,0.1067,0.21447,0.12983,0.75802,0,4.04894e-05,4.04894e-05,4.04894e-05
84,10063.3,0.25323,0.37273,0.38293,0.86677,0,0.98017,0.9853,0.98569,0.97854,0.97819,0.98324,0.98253,0.97868,0.10631,0.2163,0.12738,0.75852,0,3.86362e-05,3.86362e-05,3.86362e-05
85,10183.3,0.25169,0.39592,0.39398,0.87047,0,0.97667,0.98165,0.98581,0.97932,0.97466,0.9796,0.98264,0.97924,0.10592,0.21683,0.12875,0.75911,0,3.6816e-05,3.6816e-05,3.6816e-05
86,10303.3,0.24189,0.39534,0.37613,0.859,0,0.9795,0.98187,0.98491,0.97879,0.97748,0.97981,0.98197,0.97916,0.10699,0.21836,0.12645,0.7598,0,3.50301e-05,3.50301e-05,3.50301e-05
87,10430.3,0.24968,0.37643,0.36793,0.87007,0,0.97975,0.98297,0.98645,0.9796,0.97773,0.98091,0.98351,0.98011,0.10688,0.22142,0.12603,0.75968,0,3.32797e-05,3.32797e-05,3.32797e-05
88,10551.5,0.25022,0.41145,0.3765,0.86646,0,0.97935,0.98366,0.98563,0.97899,0.97733,0.9816,0.98223,0.979,0.10563,0.22339,0.12704,0.7587,0,3.1566e-05,3.1566e-05,3.1566e-05
89,10669.9,0.25016,0.38503,0.37472,0.86872,0,0.98014,0.98495,0.98692,0.98029,0.97811,0.9829,0.9842,0.9797,0.10659,0.22199,0.12393,0.76048,0,2.98902e-05,2.98902e-05,2.98902e-05
90,10790.5,0.24554,0.37326,0.37491,0.8664,0,0.98042,0.98404,0.98658,0.97906,0.9784,0.98198,0.98296,0.97899,0.10635,0.22878,0.12727,0.76086,0,2.82535e-05,2.82535e-05,2.82535e-05
91,10910.5,0.24679,0.38912,0.36546,0.86292,0,0.98062,0.97983,0.98656,0.97928,0.97861,0.97777,0.98316,0.97947,0.10683,0.22884,0.12635,0.76069,0,2.66569e-05,2.66569e-05,2.66569e-05
92,11030.8,0.2421,0.40287,0.36373,0.86448,0,0.98072,0.97908,0.98677,0.97944,0.9787,0.97702,0.98338,0.98039,0.10701,0.22426,0.12611,0.76098,0,2.51016e-05,2.51016e-05,2.51016e-05
93,11149.3,0.2448,0.39125,0.36729,0.86693,0,0.98025,0.98184,0.98652,0.97902,0.97823,0.97978,0.9829,0.98027,0.10691,0.22216,0.12289,0.76069,0,2.35886e-05,2.35886e-05,2.35886e-05
94,11269.9,0.24454,0.39637,0.37067,0.86457,0,0.97846,0.9809,0.98602,0.97857,0.97636,0.97892,0.98263,0.97994,0.10635,0.225,0.12347,0.76038,0,2.2119e-05,2.2119e-05,2.2119e-05
